[key]; [value]
Version; 0x03050000
Name; Application.mesure_all
ApplicationName; Application
ApplicationDataGuid; 00000000-0000-0000-0000-000000000000
IecTaskName; MAST
Comment; 
Trigger.Flags; 0
Condition.Name; 
Condition.AddrFlags; 0x00000000
Condition.Class; 0
Condition.Size; 0
EveryNCycles; 1
BufferEntries; 101
Flags; 16
0.Variable; actualVelocity_1
0.Address.AddrFlags; 0x00000000
0.Class; 8
0.Size; 4
0.GraphColor; 4293821166
0.GraphType; 1
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 23744; 40
; 23764; 233
; 23784; 79
; 23804; 223
; 23824; 68
; 23844; 226
; 23864; 101
; 23884; 184
; 23904; 100
; 23924; 140
; 23944; 134
; 23964; 140
; 23984; 114
; 24004; 84
; 24024; 126
; 24044; 92
; 24064; 128
; 24084; 80
; 24104; 109
; 24124; 60
; 24144; 129
; 24164; 49
; 24184; 155
; 24204; 57
; 24224; 160
; 24244; 39
; 24264; 236
; 24284; 78
; 24304; 217
; 24324; 64
; 24344; 222
; 24364; 97
; 24384; 177
; 24404; 105
; 24424; 138
; 24444; 133
; 24464; 141
; 24484; 110
; 24504; 89
; 24524; 124
; 24544; 86
; 24564; 123
; 24584; 80
; 24604; 112
; 24624; 65
; 24644; 134
; 24664; 53
; 24684; 159
; 24704; 49
; 24724; 166
; 24744; 36
; 24764; 237
; 24784; 66
; 24804; 218
; 24824; 69
; 24844; 226
; 24864; 94
; 24884; 188
; 24904; 99
; 24924; 162
; 24944; 129
; 24964; 162
; 24984; 104
; 25004; 104
; 25024; 130
; 25044; 113
; 25064; 126
; 25084; 99
; 25104; 124
; 25124; 79
; 25144; 128
; 25164; 68
; 25184; 122
; 25204; 65
; 25224; 131
; 25244; 50
; 25264; 176
; 25284; 57
; 25304; 166
; 25324; 51
; 25344; 177
; 25364; 51
; 25384; 216
; 25404; 56
; 25424; 236
; 25444; 85
; 25464; 222
; 25484; 65
; 25504; 175
; 25524; 113
; 25544; 179
; 25564; 107
; 25584; 161
; 25604; 130
; 25624; 128
; 25644; 117
; 25664; 100
; 25684; 128
; 25704; 96
; 25724; 120
; 25744; 68
; 25764; 128
; 25784; 67
; 25804; 133
; 25824; 62
; 25844; 116
; 25864; 53
; 25884; 147
; 25904; 48
; 25924; 159
; 25944; 52
; 25964; 154
; 25984; 41
; 26004; 217
; 26024; 53
; 26044; 201
; 26064; 54
; 26084; 205
; 26104; 62
; 26124; 213
; 26144; 68
; 26164; 222
; 26184; 92
; 26204; 218
; 26224; 69
; 26244; 171
; 26264; 112
; 26284; 194
; 26304; 109
; 26324; 164
; 26344; 127
; 26364; 132
; 26384; 115
; 26404; 113
; 26424; 137
; 26444; 125
; 26464; 115
; 26484; 84
; 26504; 127
; 26524; 97
; 26544; 129
; 26564; 87
; 26584; 122
; 26604; 76
; 26624; 124
; 26644; 61
; 26664; 131
; 26684; 61
; 26704; 138
; 26724; 51
; 26744; 183
; 26764; 54
; 26784; 159
; 26804; 48
; 26824; 163
; 26844; 49
; 26864; 208
; 26884; 49
; 26904; 219
; 26924; 67
; 26944; 206
; 26964; 45
; 26984; 238
; 27004; 77
; 27024; 226
; 27044; 67
; 27064; 223
; 27084; 78
; 27104; 212
; 27124; 87
; 27144; 210
; 27164; 104
; 27184; 210
; 27204; 82
; 27224; 162
; 27244; 126
; 27264; 185
; 27284; 104
; 27304; 173
; 27324; 130
; 27344; 143
; 27364; 113
; 27384; 128
; 27404; 132
; 27424; 138
; 27444; 108
; 27464; 95
; 27484; 131
; 27504; 118
; 27524; 131
; 27544; 112
; 27564; 127
; 27584; 93
; 27604; 129
; 27624; 80
; 27644; 126
; 27664; 86
; 27684; 124
; 27704; 72
; 27724; 137
; 27744; 72
; 27764; 135
; 27784; 69
; 27804; 120
; 27824; 60
; 27844; 144
; 27864; 57
; 27884; 156
; 27904; 59
; 27924; 147
; 27944; 47
; 27964; 195
; 27984; 54
; 28004; 162
; 28024; 51
; 28044; 150
; 28064; 50
; 28084; 171
; 28104; 41
; 28124; 196
; 28144; 57
; 28164; 169
; 28184; 44
; 28204; 221
; 28224; 68
; 28244; 200
; 28264; 47
; 28284; 191
; 28304; 52
; 28324; 207
; 28344; 43
; 28364; 228
; 28384; 60
; 28404; 209
; 28424; 45
; 28444; 239
