V20.3.3.0 Trace: mesure_all
C:\Users\HP\Documents\CoursMines\mecatro\TI_MECATRO_Tricodrisse\minimal_working_example\M241_ILE_2_moteurs_new.project
Timestamp(ms) actualVelocity_1 actualVelocity_2 v_target_mobile asserv.v_mobile asserv.alpha targetVelocity_1 targetVelocity_2 x init_x target_x h_triangle 
133504 0 -2 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133524 -1 -2 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133544 1 1 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133564 2 -4 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133584 4 -12 0.0036156214773654938 0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133604 1 -6 0.0036156214773654938 0.0022300772834569216 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133624 3 -15 0.0081908786669373512 0.00055751932086423039 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133644 7 -3 0.0081908786669373512 0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133664 6 -2 0.0081908786669373512 0.00390263507142663 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133684 -16 -9 0.0081908786669373512 0.0033451155759394169 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133704 0 -5 0.0081908786669373512 -0.0089203091338276863 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133724 -2 -8 0.0081908786669373512 0 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133744 -3 5 0.0081908786669373512 -0.0011150386417284608 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133764 -3 5 0.0081908786669373512 -0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133784 2 16 0.0081908786669373512 -0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133804 0 6 0.0081908786669373512 0.0011150386417284608 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133824 0 6 0.0081908786669373512 0 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133844 -1 0 0.0081908786669373512 0 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133864 2 8 0.0081908786669373512 -0.00055751932086423039 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133884 3 9 0.0081908786669373512 0.0011150386417284608 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133904 2 3 0.0081908786669373512 0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133924 -1 9 0.0081908786669373512 0.0011150386417284608 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
133944 0 25 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133964 2 8 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
133984 -1 14 0.0036156214773654938 0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134004 1 29 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134024 -3 46 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134044 1 6 0.0036156214773654938 -0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134064 -2 -2 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134084 -3 -1 0.0036156214773654938 -0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134104 1 0 0.0036156214773654938 -0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134124 3 2 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134144 -1 2 0.0036156214773654938 0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134164 -3 5 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134184 -2 2 0.0036156214773654938 -0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134204 2 1 0.0036156214773654938 -0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
134224 -1 2 0.0036156214773654938 0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
